

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -15.000     0.000  -0.970946   0.030153   0.000000   0.030153   0.000000  -0.000000   0.253042  -0.000000  -0.000000   11.1100     0.0626
  -14.000     0.000  -0.884491   0.025065   0.000000   0.025065   0.000000  -0.000000   0.223457  -0.000000  -0.000000   11.1100     0.0606
  -13.000     0.000  -0.797473   0.020407   0.000000   0.020407   0.000000  -0.000000   0.193395  -0.000000  -0.000000   11.1100     0.0580
  -12.000     0.000  -0.709942   0.016194   0.000000   0.016194   0.000000  -0.000000   0.162893  -0.000000  -0.000000   11.1100     0.0548
  -11.000     0.000  -0.621948   0.012442   0.000000   0.012442   0.000000  -0.000000   0.131986  -0.000000  -0.000000   11.1100     0.0504
  -10.000     0.000  -0.533543   0.009164   0.000000   0.009164   0.000000  -0.000000   0.100714  -0.000000  -0.000000   11.1100     0.0445
   -9.000     0.000  -0.444779   0.006371   0.000000   0.006371   0.000000  -0.000000   0.069114  -0.000000  -0.000000   11.1100     0.0360
   -8.000     0.000  -0.355709   0.004074   0.000000   0.004074   0.000000  -0.000000   0.037224  -0.000000  -0.000000   11.1100     0.0232
   -7.000     0.000  -0.266386   0.002283   0.000000   0.002283   0.000000  -0.000000   0.005084  -0.000000  -0.000000   11.1100     0.0015
   -6.000     0.000  -0.176865   0.001004   0.000000   0.001004   0.000000  -0.000000  -0.027267  -0.000000  -0.000000   11.1100    -0.0424
   -5.000     0.000  -0.087199   0.000244   0.000000   0.000244   0.000000  -0.000000  -0.059790  -0.000000  -0.000000   11.1100    -0.1769
   -4.000     0.000   0.002557   0.000006   0.000000   0.000006   0.000000  -0.000000  -0.092446  -0.000000  -0.000000   11.1100     9.1450
   -3.000     0.000   0.092348   0.000293   0.000000   0.000293   0.000000  -0.000000  -0.125194   0.000000   0.000000   11.1100     0.3396
   -2.000     0.000   0.182120   0.001107   0.000000   0.001107   0.000000  -0.000000  -0.157995   0.000000   0.000000   11.1100     0.2160
   -1.000     0.000   0.271816   0.002447   0.000000   0.002447   0.000000  -0.000000  -0.190808   0.000000   0.000000   11.1100     0.1740
    0.000     0.000   0.361383   0.004310   0.000000   0.004310   0.000000  -0.000000  -0.223594   0.000000   0.000000   11.1100     0.1529
    1.000     0.000   0.450766   0.006693   0.000000   0.006693   0.000000  -0.000000  -0.256312   0.000000   0.000000   11.1100     0.1401
    2.000     0.000   0.539910   0.009591   0.000000   0.009591   0.000000  -0.000000  -0.288924   0.000000   0.000000   11.1100     0.1316
    3.000     0.000   0.628761   0.012997   0.000000   0.012997   0.000000  -0.000000  -0.321388  -0.000000  -0.000000   11.1100     0.1254
    4.000     0.000   0.717267   0.016902   0.000000   0.016902   0.000000  -0.000000  -0.353667  -0.000000  -0.000000   11.1100     0.1207
    5.000     0.000   0.805372   0.021296   0.000000   0.021296   0.000000  -0.000000  -0.385719  -0.000000  -0.000000   11.1100     0.1170
    6.000     0.000   0.893026   0.026169   0.000000   0.026169   0.000000  -0.000000  -0.417507  -0.000000  -0.000000   11.1100     0.1140
    7.000     0.000   0.980177   0.031506   0.000000   0.031506   0.000000   0.000000  -0.448991  -0.000000  -0.000000   11.1100     0.1115
    8.000     0.000   1.066773   0.037293   0.000000   0.037293   0.000000   0.000000  -0.480133  -0.000000  -0.000000   11.1100     0.1093
    9.000     0.000   1.152764   0.043516   0.000000   0.043516   0.000000   0.000000  -0.510895  -0.000000  -0.000000   11.1100     0.1075
   10.000     0.000   1.238101   0.050156   0.000000   0.050156   0.000000   0.000000  -0.541240  -0.000000  -0.000000   11.1100     0.1058
   11.000     0.000   1.322736   0.057195   0.000000   0.057195   0.000000   0.000000  -0.571131  -0.000000  -0.000000   11.1100     0.1043
   12.000     0.000   1.406622   0.064613   0.000000   0.064613   0.000000   0.000000  -0.600531  -0.000000  -0.000000   11.1100     0.1029
   13.000     0.000   1.489714   0.072390   0.000000   0.072390   0.000000   0.000000  -0.629404  -0.000000  -0.000000   11.1100     0.1016
   14.000     0.000   1.571966   0.080503   0.000000   0.080503   0.000000   0.000000  -0.657716  -0.000000  -0.000000   11.1100     0.1004
   15.000     0.000   1.653335   0.088930   0.000000   0.088930   0.000000   0.000000  -0.685432  -0.000000  -0.000000   11.1100     0.0992


