

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
  -15.000     0.000  -1.129062   0.065217   0.000000   0.065217   0.000000   0.000553   0.152065   0.000186   0.000186   11.1100     0.0317
  -14.000     0.000  -1.057414   0.057237   0.000000   0.057237   0.000000   0.000485   0.142640   0.000156   0.000156   11.1100     0.0319
  -13.000     0.000  -0.985033   0.049696   0.000000   0.049696   0.000000   0.000422   0.133061   0.000130   0.000130   11.1100     0.0320
  -12.000     0.000  -0.911965   0.042617   0.000000   0.042617   0.000000   0.000362   0.123340   0.000107   0.000107   11.1100     0.0322
  -11.000     0.000  -0.838259   0.036022   0.000000   0.036022   0.000000   0.000306   0.113487   0.000087   0.000087   11.1100     0.0323
  -10.000     0.000  -0.763963   0.029931   0.000000   0.029931   0.000000   0.000254   0.103516   0.000070   0.000070   11.1100     0.0324
   -9.000     0.000  -0.689127   0.024362   0.000000   0.024362   0.000000   0.000207   0.093439   0.000055   0.000055   11.1100     0.0325
   -8.000     0.000  -0.613803   0.019333   0.000000   0.019333   0.000000   0.000164   0.083267   0.000043   0.000043   11.1100     0.0326
   -7.000     0.000  -0.538042   0.014858   0.000000   0.014858   0.000000   0.000126   0.073013   0.000033   0.000033   11.1100     0.0327
   -6.000     0.000  -0.461897   0.010952   0.000000   0.010952   0.000000   0.000093   0.062690   0.000024   0.000024   11.1100     0.0327
   -5.000     0.000  -0.385422   0.007627   0.000000   0.007627   0.000000   0.000065   0.052309   0.000018   0.000018   11.1100     0.0328
   -4.000     0.000  -0.308671   0.004893   0.000000   0.004893   0.000000   0.000042   0.041885   0.000013   0.000013   11.1100     0.0328
   -3.000     0.000  -0.231697   0.002757   0.000000   0.002757   0.000000   0.000023   0.031429   0.000008   0.000008   11.1100     0.0328
   -2.000     0.000  -0.154558   0.001227   0.000000   0.001227   0.000000   0.000010   0.020955   0.000005   0.000005   11.1100     0.0328
   -1.000     0.000  -0.077307   0.000307   0.000000   0.000307   0.000000   0.000003   0.010474   0.000002   0.000002   11.1100     0.0328
    0.000     0.000  -0.000000   0.000000   0.000000   0.000000   0.000000  -0.000000   0.000000   0.000000   0.000000   11.1100     0.0809
    1.000     0.000   0.077307   0.000307   0.000000   0.000307   0.000000   0.000003  -0.010454  -0.000002  -0.000002   11.1100     0.0327
    2.000     0.000   0.154558   0.001227   0.000000   0.001227   0.000000   0.000010  -0.020876  -0.000005  -0.000005   11.1100     0.0327
    3.000     0.000   0.231697   0.002757   0.000000   0.002757   0.000000   0.000023  -0.031254  -0.000008  -0.000008   11.1100     0.0326
    4.000     0.000   0.308671   0.004893   0.000000   0.004893   0.000000   0.000042  -0.041573  -0.000012  -0.000012   11.1100     0.0325
    5.000     0.000   0.385422   0.007627   0.000000   0.007627   0.000000   0.000065  -0.051823  -0.000017  -0.000017   11.1100     0.0325
    6.000     0.000   0.461897   0.010952   0.000000   0.010952   0.000000   0.000093  -0.061989  -0.000024  -0.000024   11.1100     0.0324
    7.000     0.000   0.538042   0.014858   0.000000   0.014858   0.000000   0.000126  -0.072061  -0.000032  -0.000032   11.1100     0.0322
    8.000     0.000   0.613803   0.019333   0.000000   0.019333   0.000000   0.000164  -0.082025  -0.000041  -0.000041   11.1100     0.0321
    9.000     0.000   0.689127   0.024362   0.000000   0.024362   0.000000   0.000207  -0.091870  -0.000053  -0.000053   11.1100     0.0320
   10.000     0.000   0.763963   0.029931   0.000000   0.029931   0.000000   0.000254  -0.101584  -0.000067  -0.000067   11.1100     0.0318
   11.000     0.000   0.838259   0.036022   0.000000   0.036022   0.000000   0.000306  -0.111154  -0.000084  -0.000084   11.1100     0.0316
   12.000     0.000   0.911965   0.042617   0.000000   0.042617   0.000000   0.000362  -0.120569  -0.000104  -0.000104   11.1100     0.0315
   13.000     0.000   0.985033   0.049696   0.000000   0.049696   0.000000   0.000422  -0.129818  -0.000126  -0.000126   11.1100     0.0313
   14.000     0.000   1.057414   0.057237   0.000000   0.057237   0.000000   0.000487  -0.138889  -0.000152  -0.000152   11.1100     0.0311
   15.000     0.000   1.129062   0.065217   0.000000   0.065217   0.000000   0.000554  -0.147771  -0.000181  -0.000181   11.1100     0.0308


