

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.087199   0.000244   0.020519   0.020762   0.000000  -0.000000  -0.059116  -0.000000  -0.000000   11.1100    -0.1769
   -4.000     0.000   0.002557   0.000006   0.018437   0.018443   0.000000  -0.000000  -0.091959  -0.000000  -0.000000   11.1100     9.1450
   -3.000     0.000   0.092348   0.000293   0.016756   0.017050   0.000000  -0.000000  -0.124861  -0.000000   0.000000   11.1100     0.3396
   -2.000     0.000   0.182120   0.001107   0.015305   0.016412   0.000000  -0.000000  -0.157791   0.000000   0.000000   11.1100     0.2160
   -1.000     0.000   0.271816   0.002447   0.013802   0.016249   0.000000  -0.000000  -0.190716   0.000000   0.000000   11.1100     0.1740
    0.000     0.000   0.361383   0.004310   0.012006   0.016316   0.000000  -0.000000  -0.223594   0.000000   0.000000   11.1100     0.1529
    1.000     0.000   0.450766   0.006693   0.011478   0.018171   0.000000  -0.000000  -0.256389   0.000000   0.000000   11.1100     0.1401
    2.000     0.000   0.539910   0.009591   0.011421   0.021013   0.000000  -0.000000  -0.289076   0.000000   0.000000   11.1100     0.1316
    3.000     0.000   0.628761   0.012997   0.011726   0.024723   0.000000  -0.000000  -0.321622   0.000000  -0.000000   11.1100     0.1254
    4.000     0.000   0.717267   0.016902   0.012237   0.029139   0.000000  -0.000000  -0.353990  -0.000000  -0.000000   11.1100     0.1207
    5.000     0.000   0.805372   0.021296   0.012891   0.034187   0.000000  -0.000000  -0.386143  -0.000000  -0.000000   11.1100     0.1170
    6.000     0.000   0.893026   0.026169   0.013614   0.039783   0.000000  -0.000000  -0.418043  -0.000000  -0.000000   11.1100     0.1140
    7.000     0.000   0.980177   0.031506   0.014395   0.045901   0.000000   0.000000  -0.449650  -0.000000  -0.000000   11.1100     0.1115
    8.000     0.000   1.066773   0.037293   0.015245   0.052538   0.000000   0.000000  -0.480929  -0.000000  -0.000000   11.1100     0.1093
    9.000     0.000   1.152764   0.043516   0.016050   0.059566   0.000000   0.000000  -0.511837  -0.000000  -0.000000   11.1100     0.1075
   10.000     0.000   1.238101   0.050156   0.016850   0.067006   0.000000   0.000000  -0.542336  -0.000000  -0.000000   11.1100     0.1058
   11.000     0.000   1.322736   0.057195   0.018108   0.075303   0.000000   0.000000  -0.572419  -0.000000  -0.000000   11.1100     0.1043


